%
% Aliases for instrument names
%
% Instrument Exact Name, Alias/Abbreviation
Seabird SBE19plus, SBE19+
% AIMS
Aquatec Aqualogger AQUAlogger 520PT50 max500m, AQUAlogger 520PT
AQUATEC AQUAlogger 520 PT, AQUAlogger 520PT
BRANCKER PRESSURE LOGGER SoloD, RBR Solo D
BRANCKER PRESSURE LOGGER Solo D, RBR Solo D
BRANCKER TEMPERATURE LOGGER SoloT, RBR Solo T
BRANCKER TEMPERATURE LOGGER Solo T, RBR Solo T
NORTEK ADCP - AQUAPRO, AQUAPRO
NORTEK ADCP - AWAC, AWAC
NORTEK ADCP - CONTINENTAL, CONTINENTAL
NORTEK ADCP - AWAC AST, AWAC
NORTEK ADCP - AWAC with NIP-600KHz, AWAC
NORTEK AQD, AQD
Nortek Aquadopp DW, AQD
Nortek Signature500, NTK SIG500
Nortek Signature 500, NTK SIG500
Nortek Signature100, NTK SIG100
Nortek Signature 100, NTK SIG100
Seabird SBE16plus, SBE16+
Seabird SBE37SM-RS232, SBE37SM
Seabird SBE56, SBE56
SEABIRD CTD - SBE 9 Plus, SBE9+
SEABIRD CTD - SBE19Plus, SBE19+
SEABIRD CTD - SBE19PLUS V2 SEACAT, SBE19+
SEABIRD SBE16 - CONDUCTIVITY TEMPERATURE LOGGER, SBE16
SEABIRD SBE16 PLUS V2, SBE16+
SEABIRD SBE16PLUS V2 SEACAT, SBE16+
Seabird SBE19plus, SBE19+
SEABIRD SBE37IMP, SBE37IMP
SEABIRD SBE37SM, SBE37SM
SEABIRD SBE37SM - MicroCAT C-T Recorder with RS-232 Interface, NIWA
SEABIRD SBE37SM + P, SBE37SM+P
SEABIRD SBE37SMP, SBE37SMP
SEABIRD SBE37SMP-RS232, SBE37SMP
SEABIRD SBE37SMP + P, SBE37SMP+P
SEABIRD SBE39 - TEMPERATURE RECORDER, SBE39
SEABIRD SBE39PLUS P - TEMPERATURE & PRESSURE RECORDER, SBE39+
SEABIRD SBE39Plus - TIDE GAUGE, SBE39+
SEABIRD SBE56 - TEMPERATURE RECORDER, SBE56
Seabird SBE39 [600m] temp & press., SBE39
Seabird SBE39 [600m] temp only, SBE39
RDI ADCP - QUARTERMASTER, RDI
RDI ADCP - WORKHORSE, RDI
RDI ADCP - WORKHORSE QUARTERMASTER, RDI
RDI ADCP - WORKHORSE SENTINEL, RDI
RDI ADCP-Workhorse, RDI
RDI ADCP - WORKHORSE LONGRANGER, RDI
RDI ADCP - WORKHORSE SENTINEL NEMO, RDI
RDI ADCP - WORKHORSE SENTINEL-1200, RDI
RDI ADCP - WORKHORSE SENTINEL-300, RDI
RDI ADCP - WORKHORSE SENTINEL-600, RDI
RDI ADCP300 Sentinel, RDI
RDI ADCP-WORKHORSE-SENTINEL, RDI
RDI WHLS150-I-2, RDI
RDI WHS300-I-UG306, RDI
RDI WHS600, RDI
Teledyne RDI Quartermaster Workhorse ADCP, RDI
Teledyne RDI Sentinel or Monitor Workhorse ADCP, RDI
